Trade_Date,ISIN,PX_Bid,PX_Mid,PX_Ask
2020-01-02,US91086QAS75,137.349,137.8165,138.284
2020-01-02,US91086QAV05,130.165,130.4995,130.834
2020-01-02,US91086QAZ19,118.175,118.546,118.917
2020-01-02,US91086QBA58,103.013,103.1585,103.304
2020-01-02,US91086QBB32,110.568,110.862,111.156
2020-01-02,US91086QBC15,105.46,105.6275,105.795
2020-01-02,US91086QBE70,123.2305,123.539253,123.848
2020-01-02,US91086QBF46,108.446,108.743,109.04
2020-01-02,US91086QBG29,106.87,106.975,107.08
2020-01-02,US91087BAA89,104.706,104.901,105.096
2020-01-02,US91087BAB62,105.446,105.7575,106.069
2020-01-02,US91087BAC46,107.067,107.173,107.279
2020-01-02,US91087BAD29,109.409,109.7,109.991
2020-01-02,US91087BAE02,103.994,104.087,104.18
2020-01-02,US91087BAF76,109.7525,109.988251,110.224
2020-01-02,US91087BAG59,108.099,108.346252,108.5935
2020-01-02,US917288BK78,111.92,112.063,112.206
2020-01-02,US922646AS37,11.178,11.8375,12.497
2020-01-02,USG13201AA91,107.2455,107.734749,108.224
2020-01-02,USG8189YAB05,103.5565,103.6415,103.7265
2020-01-02,USG8189YAC87,120.886,121.46125,122.0365
2020-01-02,USG82003AE76,107.863,107.977753,108.0925
2020-01-02,USG8200QAB26,107.041,107.16,107.279
2020-01-02,USG82016AL31,100.532,100.768,101.004
2020-01-02,USG8201JAC56,103.151,103.297,103.443
2020-01-02,USG8201NAA03,101.4445,101.5135,101.5825
2020-01-02,USG8201NAC68,104.993,105.185249,105.3775
2020-01-02,USG8201NAG72,100.4505,100.525749,100.601
2020-01-02,USG8449VAB20,102.259,102.3725,102.486
2020-01-02,USG8449WAC85,106.9165,107.057251,107.198
2020-01-02,USG8450LAG98,100.983,101.0655,101.148
2020-01-02,USG8450LAJ38,105.0215,105.209747,105.398
2020-01-02,USG8850LAC49,102.4685,102.648247,102.828
2020-01-02,USP01012AN67,114.536,115.0335,115.531
2020-01-02,USP01012CA29,107.9085,108.357246,108.806
2020-01-02,USP14486AJ63,110.1555,110.4035,110.6515
2020-01-02,USP14517AA73,106.149,106.430252,106.7115
2020-01-02,USP17625AC16,11.197,11.7965,12.396
2020-01-02,USP29595AB42,105.497,105.92675,106.3565
2020-01-02,USP30179AM09,107.3445,107.76075,108.177
2020-01-02,USP3143NAW40,108.704,108.929,109.154
2020-01-02,USP3143NAY06,104.3815,104.668,104.9545
2020-01-02,USP3143NAZ70,110.0285,110.554,111.0795
2020-01-02,USP3143NBB93,108.3045,108.8555,109.4065
2020-01-02,USP3143NBE33,99.0075,99.2755,99.5435
2020-01-02,USP3143NBF08,96.7425,97.303,97.8635
2020-01-02,USP3579EAS65,107.2755,107.585251,107.895
2020-01-02,USP3579EAY34,120.9975,121.4185,121.8395
2020-01-02,USP3579EBD87,107.516,107.8315,108.147
2020-01-02,USP3579EBE60,114.663,115.089,115.515
2020-01-02,USP3579EBK21,114.218,114.48275,114.7475
2020-01-02,USP3579EBV85,110.5345,110.85025,111.166
2020-01-02,USP3579EBY25,110.7525,111.187248,111.622
2020-01-02,USP3579ECB13,111.323,111.635246,111.9475
2020-01-02,USP3579ECE51,110.169,110.544746,110.9205
2020-01-02,USP3699PGB78,100.73,101.044746,101.3595
2020-01-02,USP3699PGH49,106.2415,106.66925,107.097
2020-01-02,USP3699PGJ05,107.606,107.979,108.352
2020-01-02,USP3699PGK77,107.151337,107.458336,107.765335
2020-01-02,USP3772NHK11,100.63,100.7635,100.897
2020-01-02,USP37878AC26,99.2985,99.9355,100.5725
2020-01-02,USP5015VAJ54,118.081337,118.507332,118.933334
2020-01-02,USP6629MAD40,103.3235,103.704247,104.085
2020-01-02,USP75744AB11,122.512,122.8905,123.269
2020-01-02,USP7807HAM71,7.149,7.922,8.695
2020-01-02,USP7807HAP03,7.094,7.8585,8.623
2020-01-02,USP7807HAQ85,7.19,7.992,8.794
2020-01-02,USP7807HAR68,7.067,7.7995,8.532
2020-01-02,USP7807HAT25,7.181,7.9105,8.64
2020-01-02,USP7808BAA54,109.1105,109.485,109.8595
2020-01-02,USP7808BAB38,116.0095,116.4765,116.9435
2020-01-02,USP78625DW03,106.3165,106.591248,106.866
2020-01-02,USP78625DX85,107.0795,107.322746,107.566
2020-01-02,USP78625DY68,109.7405,110.021751,110.303
2020-01-02,USP93960AG08,106.7955,107.231,107.6665
2020-01-02,USQ25738AA54,107.073,107.194,107.315
2020-01-02,USY2029SAH77,99.967,100.3265,100.686
2020-01-02,USY20721AE96,157.076,157.4635,157.851
2020-01-02,USY20721AJ83,135.4875,135.863,136.2385
2020-01-02,USY20721AL30,150.1475,150.5295,150.9115
2020-01-02,USY20721BB49,120.0885,120.466751,120.845
2020-01-02,USY20721BC22,103.0865,103.30825,103.53
2020-01-02,USY20721BD05,103.033,103.245247,103.4575
2020-01-02,USY20721BE87,111.6375,112.00425,112.371
2020-01-02,USY20721BG36,107.2465,107.480751,107.715
2020-01-02,USY20721BH19,110.742,110.957,111.172
2020-01-02,USY20721BJ74,112.9955,113.266747,113.538
2020-01-02,USY20721BK48,143.282,143.664749,144.0475
2020-01-02,USY20721BM04,119.0135,119.411751,119.81
2020-01-02,USY20721BN86,111.0965,111.318,111.5395
2020-01-02,USY20721BP35,132.5735,132.980255,133.387
2020-01-02,USY20721BQ18,109.077,109.357,109.637
2020-01-02,USY20721BR90,122.4085,122.764252,123.12
2020-01-02,USY20721BT56,106.321,106.599,106.877
2020-01-02,USY20721BU20,114.935,115.327751,115.7205
2020-01-02,USY23862AF56,105.238,105.411751,105.5855
2020-01-02,USY54788AA57,103.5265,103.753754,103.981
2020-01-02,USY5749LAA99,103.3465,103.5285,103.7105
2020-01-02,USY68856AB20,112.6925,112.79425,112.896
2020-01-02,USY68856AN67,104.7045,104.871,105.0375
2020-01-02,USY68856AQ98,118.8755,119.638748,120.402
2020-01-02,USY7083VAD11,123.9275,124.240753,124.554
2020-01-02,USY7133MAC39,105.999,106.2655,106.532
2020-01-02,USY7138AAC46,105.2325,105.446,105.6595
2020-01-02,USY7138AAD29,121.9775,122.331749,122.686
2020-01-02,USY7138AAE02,105.408,105.6295,105.851
2020-01-02,USY7138AAF76,116.7215,117.0835,117.4455
2020-01-02,USY7140WAB47,110.349,110.563248,110.7775
2020-01-02,USY7140WAC20,122.7405,123.025,123.3095
2020-01-02,USY8137FAE89,100.0095,100.395,100.7805
2020-01-02,USY8137FAF54,98.5865,98.955,99.3235
2020-01-02,USY8137FAH11,93.8485,94.20925,94.57
2020-01-02,USY8137FAK40,98.88,99.27525,99.6705
2020-01-02,USY8137FAL23,95.79,96.17125,96.5525
2020-01-02,USY8137FAN88,101.44,101.8035,102.167
2020-01-02,USY8137FAP37,101.2855,101.668,102.0505
2020-01-02,USY8137FAR92,99.015,99.34975,99.6845
2020-01-02,USY9384RAA87,109.2715,109.6485,110.0255
2020-01-02,XS0088543193,171.875,172.3675,172.86
2020-01-02,XS0113419690,163.771,164.3795,164.988
2020-01-02,XS0114288789,113.565,113.7825,114
2020-01-02,XS0240295575,97.86,98.2945,98.729
2020-01-02,XS0294364954,6.699,7.6875,8.676
2020-01-02,XS0294367205,6.77,7.727,8.684
2020-01-02,XS0468535637,144.901,145.485245,146.0695
2020-01-02,XS0496488395,100.0445,100.4365,100.8285
2020-01-02,XS0501194756,59.5105,59.89775,60.285
2020-01-02,XS0559237796,48.372,49.10925,49.8465
2020-01-02,XS0559915961,119.1655,119.625,120.0845
2020-01-02,XS0615236188,136.5935,137.1025,137.6115
2020-01-02,XS0707820659,44.3095,44.99875,45.688
2020-01-02,XS0739988086,109.416,109.584,109.752
2020-01-02,XS0767472458,104.7725,105.012253,105.252
2020-01-02,XS0767473852,129.8215,130.181747,130.542
2020-01-02,XS0782720402,105.284,105.647,106.01
2020-01-02,XS0794901727,107.7895,108.0715,108.3535
2020-01-02,XS0799658637,134.209,134.65625,135.1035
2020-01-02,XS0800817073,107.582,107.8285,108.075
2020-01-02,XS0801656330,103.2145,103.441254,103.668
2020-01-02,XS0809571739,101.3375,101.6775,102.0175
2020-01-02,XS0850020586,105.307,105.6495,105.992
2020-01-02,XS0859366899,44.27,44.9745,45.679
2020-01-02,XS0859367194,46.143,46.83575,47.5285
2020-01-02,XS0860582435,103.8265,104.085,104.3435
2020-01-02,XS0860855344,102.3065,102.399246,102.492
2020-01-02,XS0903465127,104.868,105.248749,105.6295
2020-01-02,XS0906085179,97.269,97.71575,98.1625
2020-01-02,XS0908769887,110.2365,110.438,110.6395
2020-01-02,XS0956406135,110.3125,110.572,110.8315
2020-01-02,XS0958072240,102.55,102.905,103.26
2020-01-02,XS0971721450,108.96,109.105,109.25
2020-01-02,XS0971721963,134.001,134.3535,134.706
2020-01-02,XS0993162683,110.9225,111.209,111.4955
2020-01-02,XS0997000251,114.494,114.705254,114.9165
2020-01-02,XS1003557870,104.6375,105.042747,105.448
2020-01-02,XS1028952403,108.455,108.82,109.185
2020-01-02,XS1044540547,106.9305,107.277252,107.624
2020-01-02,XS1056386714,68.464,69.096,69.728
2020-01-02,XS1056560920,111.3965,111.790253,112.184
2020-01-02,XS1080330704,95.7695,96.45525,97.141
2020-01-02,XS1108847531,108.0635,108.4125,108.7615
2020-01-02,XS1110833123,104.9385,105.2435,105.5485
2020-01-02,XS1117279882,107.1145,107.503754,107.893
2020-01-02,XS1117297355,97.5245,98.1215,98.7185
2020-01-02,XS1120709669,107.261,107.530251,107.7995
2020-01-02,XS1120709826,123.2985,123.7135,124.1285
2020-01-02,XS1141043296,98.015,98.35725,98.6995
2020-01-02,XS1151974877,108.458,108.836746,109.2155
2020-01-02,XS1175223699,93.4405,93.85975,94.279
2020-01-02,XS1187065443,102.7455,103.11,103.4745
2020-01-02,XS1196419854,44.229,44.9495,45.67
2020-01-02,XS1196517434,105.872,106.241,106.61
2020-01-02,XS1210507650,100.8945,101.283249,101.672
2020-01-02,XS1245432742,106.3315,106.613251,106.895
2020-01-02,XS1263054519,114.9085,115.1685,115.4285
2020-01-02,XS1263139856,147.329,147.746,148.163
2020-01-02,XS1267081575,68.4515,68.97875,69.506
2020-01-02,XS1303921214,107.875,108.125,108.375
2020-01-02,XS1303921487,109.5,109.875,110.25
2020-01-02,XS1303925041,109.9915,110.3555,110.7195
2020-01-02,XS1303925470,110.3815,110.7185,111.0555
2020-01-02,XS1303926528,110.69,111.0225,111.355
2020-01-02,XS1303927179,110.71,111.0025,111.295
2020-01-02,XS1318576086,117.6665,118.0195,118.3725
2020-01-02,XS1319820897,118.4545,118.7605,119.0665
2020-01-02,XS1324931895,117.5575,117.980247,118.403
2020-01-02,XS1395523779,101.2975,101.498749,101.7
2020-01-02,XS1402929746,104.055,104.32,104.585
2020-01-02,XS1405766541,118.1515,118.566254,118.981
2020-01-02,XS1405770220,105.54,105.964249,106.3885
2020-01-02,XS1405770733,107.494,107.851753,108.2095
2020-01-02,XS1405777589,101.171,101.574249,101.9775
2020-01-02,XS1405781854,120.597,121.0335,121.47
2020-01-02,XS1405782159,105.1015,105.415749,105.73
2020-01-02,XS1458514673,102.412,102.892754,103.3735
2020-01-02,XS1508675417,103.3665,103.6145,103.8625
2020-01-02,XS1508675508,109.9825,110.3445,110.7065
2020-01-02,XS1535071986,96.1215,96.66875,97.216
2020-01-02,XS1558078496,111.37,111.8845,112.399
2020-01-02,XS1558078736,111.6995,112.095,112.4905
2020-01-02,XS1566179039,104.429,104.843246,105.2575
2020-01-02,XS1573944870,100.2695,100.334747,100.4
2020-01-02,XS1575044364,100.765,100.8495,100.934
2020-01-02,XS1575874471,101.114,101.496,101.878
2020-01-02,XS1575967218,102.805,103.1405,103.476
2020-01-02,XS1575968026,98.835,99.277,99.719
2020-01-02,XS1577950311,106.7035,107.272751,107.842
2020-01-02,XS1577952952,108.8445,109.17,109.4955
2020-01-02,XS1582346968,107.3885,107.6225,107.8565
2020-01-02,XS1586230051,44.3485,44.99775,45.647
2020-01-02,XS1586230481,44.3115,44.99075,45.67
2020-01-02,XS1586385178,101.2225,101.543747,101.865
2020-01-02,XS1595713782,109.822,110.1165,110.411
2020-01-02,XS1595714087,119.4785,119.8475,120.2165
2020-01-02,XS1599284111,101.521,101.696747,101.8725
2020-01-02,XS1599284202,105.813,106.04425,106.2755
2020-01-02,XS1619155564,105.397,105.844254,106.2915
2020-01-02,XS1620176831,101.2935,101.576,101.8585
2020-01-02,XS1626530320,95.207,95.7895,96.372
2020-01-02,XS1626768730,99.6665,100.255249,100.844
2020-01-02,XS1631415400,101.3585,101.748253,102.138
2020-01-02,XS1644429695,101.6475,101.736252,101.825
2020-01-02,XS1644429935,104.9695,105.162247,105.355
2020-01-02,XS1662407862,102.3155,102.6975,103.0795
2020-01-02,XS1675862012,116.724,117.0775,117.431
2020-01-02,XS1678623734,98.194,98.647,99.1
2020-01-02,XS1694216687,101.6385,101.910248,102.182
2020-01-02,XS1694217495,105.372,105.652748,105.9335
2020-01-02,XS1694218469,111.6735,112.0155,112.3575
2020-01-02,XS1696892295,104.5915,104.858,105.1245
2020-01-02,XS1696899035,116.2355,116.6025,116.9695
2020-01-02,XS1696908471,101.2505,101.409,101.5675
2020-01-02,XS1706605109,100.617,100.739,100.861
2020-01-02,XS1706605281,102.1655,102.4075,102.6495
2020-01-02,XS1707041262,92.911,93.45625,94.0015
2020-01-02,XS1709535097,115.226,115.638,116.05
2020-01-02,XS1713666318,100.4825,100.7415,101.0005
2020-01-02,XS1717011982,102.5315,102.915,103.2985
2020-01-02,XS1717013095,98.4485,98.8735,99.2985
2020-01-02,XS1729875598,104.1885,104.578,104.9675
2020-01-02,XS1729876059,102.4085,102.7185,103.0285
2020-01-02,XS1750113406,102.1695,102.5545,102.9395
2020-01-02,XS1750113661,103.406,103.703,104
2020-01-02,XS1750114396,100.3715,100.757,101.1425
2020-01-02,XS1755429732,89.4175,89.9785,90.5395
2020-01-02,XS1775617209,104.604,104.864,105.124
2020-01-02,XS1775617464,105.2545,105.741753,106.229
2020-01-02,XS1775618439,104.205,104.532,104.859
2020-01-02,XS1777972511,102.46,102.863747,103.2675
2020-01-02,XS1777972941,101.197,101.6055,102.014
2020-01-02,XS1781710543,109.0395,109.408249,109.777
2020-01-02,XS1781710626,107.9245,108.3345,108.7445
2020-01-02,XS1788513494,105.1355,105.232246,105.329
2020-01-02,XS1788513734,112.245,112.45475,112.6645
2020-01-02,XS1790134362,101.141,101.547,101.953
2020-01-02,XS1791326991,108.303,108.638748,108.9745
2020-01-02,XS1791937441,107.652,107.921249,108.1905
2020-01-02,XS1791939066,113.2735,113.574753,113.876
2020-01-02,XS1791939736,118.638,119.070251,119.5025
2020-01-02,XS1799523276,108.4635,108.7795,109.0955
2020-01-02,XS1802362951,116.779,117.1615,117.544
2020-01-02,XS1806502453,105.4795,105.713249,105.947
2020-01-02,XS1807174393,114.286,114.615753,114.9455
2020-01-02,XS1807174559,128.0665,128.389,128.7115
2020-01-02,XS1807299331,128.568,128.930756,129.2935
2020-01-02,XS1807300105,115.9415,116.250748,116.56
2020-01-02,XS1816199373,103.049,103.3665,103.684
2020-01-02,XS1819680288,108.5335,108.936249,109.339
